Key,en,ru,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Редактор,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Вы уверены, что хотите удалить символ ""{0}""? Это действие невозможно отменить.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Персонаж ""{0}"" уже существует. Вы уверены, что хотите перезаписать символ ""{0}""? Это действие невозможно отменить.",False
MainMenu.Confirm,Confirm,Подтверждать,False
MainMenu.Cancel,0Cancel,0Отмена,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,"Пожалуйста, введите имя персонажа:",False
MainMenu.Editor.Model,Models,Модели,False
MainMenu.Editor.Character,Character,Характер,False
MainMenu.Editor.Animation,Animation,Анимация,False
MainMenu.Editor.PartsSelection,Choose Parts,Выберите детали,False
MainMenu.Editor.PartsAdjustment,Adjustment,Корректирование,False
MainMenu.Search,Search...,Поиск...,False
MainMenu.Editor.SaveCharacter,Save Character,Сохранить персонажа,False
MainMenu.Editor.Unload,Clear Character,Ясный характер,False
MainMenu.Editor.DeleteCharacter,Delete Character,Удалить персонажа,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Используйте пользовательские текстуры,False
MainMenu.Editor.ReloadTextures,Reload Textures,Перезагрузить текстуры,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Открыть папку с пользовательскими текстурами,False
MainMenu.Editor.Color,Color,Цвет,False
MainMenu.Editor.TintColor,TintColor,ОттенокЦвет,False
MainMenu.Editor.TintBlackColor,TintBlackColor,ОттенокЧерныйЦвет,False
MainMenu.Editor.LICENSE,LICENSE,ЛИЦЕНЗИЯ,False
MainMenu.Editor.AssetTypeAA,Default Assets,Активы по умолчанию,False
MainMenu.Editor.AssetTypeSA,Third-Party Assets,Сторонние активы,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,Имя не может быть пустым.,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,Имя не может превышать {0} символов.,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",Имя не может содержать символ «{0}».,False
